版本号,数据库/软件,功能,版本,参数,参考文献/数据库地址
重测序,bwa,参考基因组比对,0.7.15,mem -k 32 -M,"Fast and accurate short read alignment with Burrows–Wheeler transform | Bioinformatics | Oxford Academic. (n.d.). Retrieved 18 February 2020, from https://academic.oup.com/bioinformatics/article/25/14/1754/225615"
重测序,samblaster,序列标记,1.129,,"Faust G G, Hall I M. SAMBLASTER: fast duplicate marking and structural variant read extraction[J]. Bioinformatics, 2014, 30(17): 2503-2505."
重测序,bedtools,覆盖度统计,v2.25.0,,http://bedtools.readthedocs.io/en/latest/
重测序,manta,SV检测,1.1.1,,"Chen X, Schulz-Trieglaff O, Shaw R, et al. Manta: rapid detection of structural variants and indels for germline and cancer sequencing applications[J]. Bioinformatics, 2015, 32(8): 1220-1222."
重测序,cnvnator,CNV检测,0.3.2,"e-value < 0.01,Deletion区域的RD < 0.7；Duplication区域的RD > 1.3,CNV区间大小 > 1kb","Abyzov A, Urban A E, Snyder M, et al. CNVnator: An approach to discover, genotype, and characterize typical and atypical CNVs from family and population genome sequencing[J]. Genome Research, 2011, 21(6):974."
重测序,GATK,变异检测,3.4-46,UnifiedGenotyper -glm BOTH,"Van der Auwera GA, et al. From FastQ Data to High-Confidence Variant Calls: The Genome Analysis Toolkit Best Practices Pipeline. CURRENT PROTOCOLS IN BIOINFORMATICS 2013 43:11.10.1-11.10.33    "
重测序,ANNOVAR,变异注释,2016/2/1,,"Wang K, Li M, Hakonarson H. ANNOVAR: functional annotation of genetic variants from high-throughput sequencing data[J]. Nucleic Acids Research, 2010, 38(16):e164."
重测序,treebest,进化树构建,1.9.2 build 25Dec2007,neighbor-joining methods,http://treesoft.sourceforge.net/treebest.shtml
重测序,plink ,数据格式转换,v1.9,,"Chang C C, Chow C C, Tellier L C A M, et al. Second-generation PLINK: rising to the challenge of larger and richer datasets[J]. Gigascience, 2015, 4(1): 7."
重测序,gcta,主成成分分析,,,"Yang J, Lee S H, Goddard M E, et al. GCTA: a tool for genome-wide complex trait analysis[J]. The American Journal of Human Genetics, 2011, 88(1): 76-82."
重测序,admixture,群体结构分析,1.3.0 ,,"D.H. Alexander, J. Novembre, and K. Lange. Fast model-based estimation of ancestry in unrelated individuals. Genome Research, 19:1655–1664, 2009."
GWAS,GATK,变异检测,3.4-46,"-Window 4，-filter ""QD < 4.0 || FS > 60.0 || MQ < 40.0 ""，-G_filter ""GQ < 20""","Van der Auwera GA, et al. From FastQ Data to High-Confidence Variant Calls: The Genome Analysis Toolkit Best Practices Pipeline. CURRENT PROTOCOLS IN BIOINFORMATICS 2013 43:11.10.1-11.10.33   "
GWAS,ANNOVAR,变异注释,2016/2/1,,"Wang K, Li M, Hakonarson H. ANNOVAR: functional annotation of genetic variants from high-throughput sequencing data[J]. Nucleic Acids Research, 2010, 38(16):e164."
GWAS,treebest,SNP进化树构建,1.9.2 build,,"EnsemblCompara GeneTrees: Complete, duplication-aware phylogenetic trees in vertebrates. (n.d.). Retrieved 18 February 2020, from https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2652215/"
GWAS,plink ,数据筛选与格式转换,v1.9,,"Chang C C, Chow C C, Tellier L C A M, et al. Second-generation PLINK: rising to the challenge of larger and richer datasets[J]. Gigascience, 2015, 4(1): 7."
GWAS,gcta,主成成分分析,"version 1.25.2
",,"Yang J, Lee S H, Goddard M E, et al. GCTA: a tool for genome-wide complex trait analysis[J]. The American Journal of Human Genetics, 2011, 88(1): 76-82."
GWAS,admixture,群体结构分析,1.3.0 ,,"D.H. Alexander, J. Novembre, and K. Lange. Fast model-based estimation of ancestry in unrelated individuals. Genome Research, 19:1655–1664, 2009."
